,0
1272,0.64
1273,0.64
1274,0.9111111
1275,0.6666667
1276,0.68
1277,0.82222223
1278,0.74545455
1279,0.93333334
1280,0.6545454
1281,0.84444445
1282,0.7
1283,0.7111111
1284,0.71999997
1285,0.9777778
1286,0.5
1287,0.7777778
1288,0.9111111
1289,0.65999997
1290,0.74
1291,0.8888889
1292,0.5666667
1293,0.9111111
1294,0.65999997
1295,0.6363636
1296,0.7
1297,0.8545454
1298,0.6666667
1299,0.95555556
1300,0.6888889
1301,0.93333334
1302,0.8888889
1303,0.56
1304,0.6666667
1305,0.7777778
1306,0.93333334
1307,0.65999997
1308,0.64
1309,0.79999995
1310,0.58
1311,0.84444445
1312,0.84444445
1313,0.6545454
1314,0.6181818
1315,0.6727272
1316,0.6888889
1317,0.84444445
1318,0.58
1319,0.8888889
1320,1.0
1321,0.8666667
1322,0.62
1323,0.71999997
1324,0.71999997
1325,0.6666667
1326,0.59999996
1327,0.58181816
1328,0.7111111
1329,0.76
1330,0.95555556
1331,0.8888889
1332,0.75555557
1333,0.74
1334,0.93333334
1335,0.7777778
1336,0.6363636
1337,0.6888889
1338,0.75555557
1339,0.6888889
1340,0.6
1341,0.9111111
1342,0.82
1343,0.7777778
1344,0.8888889
1345,0.9111111
1346,0.76
1347,0.91999996
1348,0.85999995
1349,0.8888889
1350,0.82
1351,0.52
1352,0.56363636
1353,0.76
1354,0.8666667
1355,0.9777778
1356,0.6727272
1357,0.7
1358,0.6363636
1359,0.78
1360,0.78
1361,0.84444445
1362,0.7777778
1363,0.8888889
1364,0.6545454
1365,0.6666667
1366,0.62
1367,0.85999995
1368,0.7
1369,0.7777778
1370,0.9777778
1371,0.6545454
1372,0.85999995
1373,0.6888889
1374,0.82222223
1375,0.64285713
1376,0.59999996
1377,0.73333335
1378,0.84444445
1379,0.84444445
1380,0.58181816
1381,0.9
1382,0.8888889
1383,0.82222223
1384,0.75555557
1385,0.6888889
1386,0.8888889
1387,0.8363636
1388,0.7777778
1389,0.52
1390,0.6545454
1391,0.7090909
1392,0.65999997
1393,0.6363636
1394,0.8181818
1395,0.82222223
1396,0.9777778
1397,0.76
1398,0.7777778
1399,0.59999996
1400,0.8
1401,0.6909091
1402,0.75555557
1403,0.73333335
1404,0.6666667
1405,0.8
1406,0.84444445
1407,0.8888889
1408,0.5
1409,0.8888889
1410,0.6666667
1411,0.53333336
1412,0.7777778
1413,0.8666667
1414,0.6727272
1415,0.73333335
1416,0.6545454
1417,0.6166667
1418,0.84444445
1419,0.5833334
1420,0.82222223
1421,0.6545454
1422,0.5166667
1423,0.8888889
1424,0.9111111
1425,0.64
1426,0.8888889
1427,0.8666667
1428,0.59999996
1429,0.74545455
1430,0.8
1431,0.6
1432,0.9777778
1433,0.47692308
1434,0.5555556
1435,0.73333335
1436,0.93333334
1437,0.6166667
1438,0.65999997
1439,0.76
1440,0.7272727
1441,0.93333334
1442,0.88
1443,0.94
1444,0.76
1445,0.84444445
1446,0.8666667
1447,0.84444445
1448,0.75555557
1449,0.82222223
1450,0.8
1451,0.84444445
1452,0.6
1453,0.6888889
1454,0.8666667
1455,0.74545455
1456,0.5454545
1457,0.64
1458,0.7090909
1459,0.76
1460,0.58181816
1461,0.9111111
1462,0.93333334
1463,0.93333334
1464,0.82222223
1465,0.8666667
1466,0.73333335
1467,0.73333335
1468,0.5272727
1469,0.61538464
1470,0.5
