,prog_name,inp,rasp,craft,jax
65,sort,"(2, 2, 5)","[2.0, 2.0, 5.0]","[2, 2, 2, 5]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
66,sort,"(2, 3, 1)","[1.0, 2.0, 3.0]","[1, 1, 2, 3]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
67,sort,"(2, 3, 2)","[2.0, 2.0, 3.0]","[2, 2, 2, 3]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
68,sort,"(2, 3, 3)","[2.0, 3.0, 3.0]","[3, 2, 3, 3]","['rasp_to_transformer_integration_test_BOS', 3, 3, 3]"
69,sort,"(2, 3, 4)","[2.0, 3.0, 4.0]","[2, 2, 3, 4]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
70,sort,"(2, 3, 5)","[2.0, 3.0, 5.0]","[2, 2, 3, 5]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
71,sort,"(2, 4, 1)","[1.0, 2.0, 4.0]","[1, 1, 2, 4]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
72,sort,"(2, 4, 2)","[2.0, 2.0, 4.0]","[2, 2, 2, 4]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
73,sort,"(2, 4, 3)","[2.0, 3.0, 4.0]","[2, 2, 3, 4]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
74,sort,"(2, 4, 4)","[2.0, 4.0, 4.0]","[4, 2, 4, 4]","['rasp_to_transformer_integration_test_BOS', 4, 4, 4]"
75,sort,"(2, 4, 5)","[2.0, 4.0, 5.0]","[2, 2, 4, 5]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
